FullName,NOM,PRENOM,ADRESSE,CODE_POSTAL,LOCALITE,GOUVERNORAT,SPECIALITE,CATEGORIE_PRESTATAIRE,APC,NameAr,Delegations_Name,Delegations_NameAr,Delegations_Value,Delegations_Latitude,Delegations_Longitude
OUTAIEL CHABBATI,CHABBATI,OUTAIEL,"25, RUE EL JAZIRA",1000,TUNIS RP (VILLE),TUNIS,MEDECINE GENERALE,CABINET MEDICAL INDIVIDUEL,NON,تطاوين,BAB BHAR (Bab Bhar),باب بحر (باب بحر),BAB BHAR,36.7981,10.1803
NEJMA LARIF,LARIF,NEJMA,Rue Farhat Hached Imm. Majed App. N° 5,4170,ZARZIS,MEDENINE,OPHTALMOLOGIE,CABINET MEDICAL DE GROUPE,NON,سوسة,ZARZIS (Beni Fetaiel),جرجيس (بني فطايل),ZARZIS,33.5028,11.1122
MONTAHA RAZZEG,RAZZEG,MONTAHA,AV DE L INDEPENDANCE SILIANA,6100,SILIANA,SILIANA,MEDECIN DENTISTE,CABINET MEDICAL INDIVIDUEL,NON,منوبة,SILIANA NORD (Cite Cnrps),سليانة الشمالية (حي الصندوق الوطني للتقاعد والحيطة الإجتماعية),SILIANA NORD,36.0833,9.3667
YVETTE JEAN BEN TEKAYA EP. LAJIMI,BEN TEKAYA EP. LAJIMI,YVETTE JEAN,32 RUE FARHAT HACHED,2089,LE KRAM OUEST,TUNIS,PHARMACIEN D'OFFICINE DE JOUR,CABINET MEDICAL INDIVIDUEL,NON,توزر,EL KRAM (Bir El Hlou),الكرم (بئر الحلو),EL KRAM,36.85,10.3
YESSMINE BEN SEDRINE EP. BEN SLIMANE,BEN SEDRINE EP. BEN SLIMANE,YESSMINE,RT  TENIOUR  KM 2.5  STATION  EL  AIN PRES ECOLE  EL  BECHA,3041,MERKEZ CHIHIA,SFAX,BIOLOGIE CLINIQUE,CABINET MEDICAL INDIVIDUEL,NON,تطاوين,SAKIET EZZIT (Cite 20 Mars),ساقية الزيت (حي 20 مارس),SAKIET EZZIT,34.8183,10.7469
SOUHIR B MBARAK,B MBARAK,SOUHIR,74 AVENUE ALI BELHOUANE,8090,KELIBIA OUEST,NABEUL,PHYSIOTHERAPIE,OFFICINE DE JOUR,NON,جندوبة,KELIBIA (Cite Afh),قليبية (حي الوكالة العقارية للسكنى),KELIBIA,36.8472,11.0944
ARIJ HAJJAMI,HAJJAMI,ARIJ,43-45 avenue habib bourguiba etage a,1001,TUNIS REPUBLIQUE,TUNIS,PHARMACIEN D'OFFICINE DE NUIT,OFFICINE DE JOUR,NON,نابل,BAB BHAR (Republique),باب بحر (الجمهورية),BAB BHAR,36.7981,10.1803
chouaib HAJEM,HAJEM,chouaib,21 AVENUE TAHER BEN AMMAR MANAR2,2092," EL MANAR (I, II, III)",TUNIS,MEDECIN DENTISTE,CABINET DE CHIRURGIE DENTAIRE,NON,بن عروس,EL MENZAH (Cite Des Medecins),المنزه (حي الأطباء),EL MENZAH,36.8528,10.1703
NOURCHENE B REHAIEM,B REHAIEM,NOURCHENE,RESIDENCE RIADH SOUKRA BLOC FOLLA1 APPT A11,2045,CITE M'HIRI,TUNIS,GYNECOLOGIE-OBSTETRIQUE,CABINET MEDICAL INDIVIDUEL,NON,باجة,LA MARSA (Cite El Mhiri),المرسى (حي المهيري),LA MARSA,36.8775,10.3275
MOHAMED HASSAN ESSASI,ESSASI,MOHAMED HASSAN,AVENUE IBN KHALDOUN,5080,TEBOULBA,MONASTIR,GYNECOLOGIE-OBSTETRIQUE,CABINET MEDICAL INDIVIDUEL,NON,مدنين,TEBOULBA (Cite Bou Drisse),طبلبة (حي بودريس),TEBOULBA,35.6425,10.9614
AJMI AMIRA,AMIRA,AJMI,AV 7 NOVEMBRE MENZEL EL HABIB,6030,MENZEL HABIB,GABES,CHIRURGIE GENERALE,CABINET MEDICAL INDIVIDUEL,NON,قفصة,MENZEL HABIB (El Fejij),منزل الحبيب (الفجيج),MENZEL HABIB,34.02,9.63
MOHAMED SGHAIER HOMRANI,HOMRANI,MOHAMED SGHAIER,AVENUE DE L'ENVIRONNEMENT,5071,AMIRAT ELHOJJAJ,MONASTIR,MEDECINE GENERALE,CABINET MEDICAL INDIVIDUEL,NON,قفصة,MOKNINE (Amirat El Hojjej),المنستير (عميرة الحجاج),MOKNINE,35.6311,10.9011
Inès KRIFA EP. BAHRI,KRIFA EP. BAHRI,Inès,RTE  LAFRANE  KM 4.5  MKZ  JALLOULI  A COTE  ECOLE JALLOULI,3062,SIDI ABBèS,SFAX,GASTRO-ENTEROLOGIE,LABORATOIRE D'ANALYSES,NON,الكاف,SFAX SUD (Sidi Abbes),صفاقس الجنوبية (سيدي عباس),SFAX SUD,34.7406,10.76
MOHAMED RACHED MOKNINE,MOKNINE,MOHAMED RACHED,"16, RUE D'ALGER",2050,HAMMAM-LIF,BEN AROUS,BIOLOGIE CLINIQUE,CABINET MEDICAL INDIVIDUEL,NON,قبلي,HAMMAM LIF (Cite Des Ouvriers),حمام الأنف (حي العمال),HAMMAM LIF,36.728,10.336
OMRAN   RAOUF HEDHIRI,HEDHIRI,OMRAN   RAOUF,"5, Avenue Habib Bourguiba",1100,ZAGHOUAN,ZAGHOUAN,PHYSIOTHERAPIE,LABORATOIRE D'ANALYSES,NON,زغوان,ZAGHOUAN (El Mhedhba),زغوان (المهذبة),ZAGHOUAN,36.4025,10.1431
YAHYIA BENABRAHEM,BENABRAHEM,YAHYIA,"88, RUE DE YOUGOSLAVIE",1000,TUNIS RP (VILLE),TUNIS,MEDECINE GENERALE,DOUANE,NON,القيروان,BAB BHAR (Bab Bhar),باب بحر (باب بحر),BAB BHAR,36.7981,10.1803
ABDELMONDHER OMRANE,OMRANE,ABDELMONDHER,9 RUE BEL HASSINE JERAD,1000,TUNIS RP (VILLE),TUNIS,PHYSIOTHERAPIE,CABINET MEDICAL INDIVIDUEL,NON,القيروان,BAB BHAR (Bab Bhar),باب بحر (باب بحر),BAB BHAR,36.7981,10.1803
HASSIBA BEN ATTIA,BEN ATTIA,HASSIBA,AVENUE ELAHED JADID,3130,HAFFOUZ,KAIROUAN,OPHTALMOLOGIE,CABINET DE KINESITHERAPIE,NON,تطاوين,HAFFOUZ (Ain El Ghrab),حفوز (عين الغراب),HAFFOUZ,35.6378,9.6772
MOHAMED FADHEL WASSEF,WASSEF,MOHAMED FADHEL,MINISTERE DE L'INTERIEUR,3000,SFAX B DIWAN,SFAX,MEDECINE GENERALE,LABORATOIRE D'ANALYSES,NON,قفصة,SFAX VILLE (Ain Charfi),صفاقس المدينة (عين الشرفي),SFAX VILLE,34.7406,10.76
MOHAMED LAMJED BOUALLEGUE,BOUALLEGUE,MOHAMED LAMJED,KAMROUNRTE SOKRA KM 3.5 CITE EL AMAL3 AV,3064,CITE EL BAHRI,SFAX,MEDECINE GENERALE,CABINET MEDICAL INDIVIDUEL,NON,بنزرت,SFAX EST (Cite El Foll),صفاقس الشرقية (حي الفل),SFAX EST,34.7406,10.76
RABIAA AJAM,AJAM,RABIAA,rue 14 janvier imm errayene 1er etage n 6,3000,SFAX B DIWAN,SFAX,MEDECIN DENTISTE,CENTRE DE REEDUCATION FONCTIONNELLE,NON,توزر,SFAX VILLE (Ain Charfi),صفاقس المدينة (عين الشرفي),SFAX VILLE,34.7406,10.76
KHADIJA KOUIDHI,KOUIDHI,KHADIJA,"""IMMEUBLE CERCLE DES BUREAUX""BUREAU B 3.1 CENTRE URBAIN NORD",1003,CITE EL KHADRA,TUNIS,O.R.L.,CABINET MEDICAL INDIVIDUEL,NON,تطاوين,CITE EL KHADRA (Cite El Khadra),حي الخضراء (حي الخضراء),CITE EL KHADRA,36.8319,10.1942
ASMA MAINA,MAINA,ASMA,AVENUE DU COMBATTANT SUPREME COMPLEXE BOUZGAROU 1er ETAGE BUREAU N°5,5000,MONASTIR,MONASTIR,OPHTALMOLOGIE,MINISTERE DE L'INTERIEUR,NON,نابل,MONASTIR (Monastir),المنستير (المنستير),MONASTIR,35.7644,10.8
RAWAND HASSANI,HASSANI,RAWAND,84av de lenvironnement el ghorrabi,8010,MENZEL BOUZELFA,NABEUL,PNEUMO-PHTISIOLOGIE,CABINET MEDICAL INDIVIDUEL,NON,قابس,MENZEL BOUZELFA (Cite Jemmali),منزل بوزلفة (حي الجمالي),MENZEL BOUZELFA,36.6833,10.5833
BOUSSIF GOUBA,GOUBA,BOUSSIF,"03, Rue de la Connaissance",7015,RAFRAF,BIZERTE,MEDECINE GENERALE,CABINET DE KINESITHERAPIE,NON,تونس,RAS JEBEL (Cite El Amel),رأس الجبل (حي الأمل),RAS JEBEL,37.2201,10.1358
MOHAMED RADHI GARCI,GARCI,MOHAMED RADHI,Elysé Medical . 1 AV. MONGI SLIM . DAR FADHAL .,2036,LA SOUKRA,ARIANA,PHARMACIEN D'OFFICINE DE JOUR,CABINET MEDICAL INDIVIDUEL,NON,القيروان,LA SOUKRA (Cite Ezzitoun 1),سكرة (حي الزيتون 1),LA SOUKRA,36.885212,10.245301
ABDELLFATTAH BRAHMI,BRAHMI,ABDELLFATTAH,AV HABIB BOURGUIBA 5028,5028,ZAOUIET KONTEC,MONASTIR,PEDIATRIE,CABINET MEDICAL INDIVIDUEL,NON,نابل,JEMMAL (Cite Ettahrir),جمال (حي التحرير),JEMMAL,35.6,10.75
NAOUREZ BOUDAYA,BOUDAYA,NAOUREZ,4   AVE   MONGI   SLIM    TEBOURBA,1130,TEBOURBA,MANOUBA,MEDECIN DENTISTE,CABINET MEDICAL INDIVIDUEL,NON,باجة,TEBOURBA (Argoub Erroumi),طبربة (عرقوب الرومي),TEBOURBA,36.8319,9.8375
MAAMER KHLEIFI,KHLEIFI,MAAMER,IMM RIDHA JELELI AV HABIB BOURGUIBA,9100,SIDI BOUZID,SIDI BOUZID,PHARMACIEN D'OFFICINE DE JOUR,CABINET MEDICAL INDIVIDUEL,NON,نابل,SIDI BOUZID EST (Dhraa),سيدي بوزيد الشرقية (الذراع),SIDI BOUZID EST,35.0372,9.4853
THEBTI DHAII,DHAII,THEBTI,8 AVENUE DES MARTYRS MOUROUJ 1,2074,EL MOUROUJ I,BEN AROUS,UROLOGIE,CABINET DE RADIOLOGIE,NON,القيروان,EL MOUROUJ (Cite El Bochra),المروج (حي البشرى),EL MOUROUJ,36.7405,10.2042
mohamed fayçal CHANDOUL,CHANDOUL,mohamed fayçal,CENTRE MEDICAL KANTAOUI C43 RTE TOURISTIQUE,4011,HAMMAM SOUSSE MEDINA,SOUSSE,NEUROLOGIE,CABINET MEDICAL INDIVIDUEL,NON,القيروان,HAMMAM SOUSSE (Hammam Sousse),حمام سوسة (حمام سوسة),HAMMAM SOUSSE,35.8592,10.59
ERCHID EL KOJA,EL KOJA,ERCHID,RUE ATTIA ENTRE SAHLOUL ET KHEZAMA OUEST PRES DE LA MOSQUEE ESSABER,4071,KHEZAMA OUEST,SOUSSE,PHARMACIEN D'OFFICINE DE JOUR,OFFICINE DE JOUR,NON,سوسة,SOUSSE JAOUHARA (Khezama Ouest),سوسة جوهرة (خزامة الغربية),SOUSSE JAOUHARA,35.8269,10.63
WIDAD HASSOUNA,HASSOUNA,WIDAD,CENTRE COMM. IMM. LALLA MANOUBIA APP 2,2011,DEN DEN,MANOUBA,MEDECINE GENERALE,CABINET MEDICAL INDIVIDUEL,NON,سليانة,MANNOUBA (Denden),منوبة (الدندان),MANNOUBA,36.8097,10.0928
FETHI GHERAB,GHERAB,FETHI,RUE  1er  JUIN,4060,KALAA EL KEBIRA,SOUSSE,MEDECIN DENTISTE,CABINET MEDICAL INDIVIDUEL,NON,سليانة,KALAA EL KEBIRA (Ahel  Jemiaa),القلعة الكبرى (أهل جميعة),KALAA EL KEBIRA,35.8697,10.5544
BOUZAIEN DEBBICH,DEBBICH,BOUZAIEN,27  RUE AL MOUIZ IBN BEDISS,3100,KAIROUAN,KAIROUAN,PHARMACIEN D'OFFICINE DE JOUR,CABINET MEDICAL INDIVIDUEL,NON,المهدية,KAIROUAN SUD (Cite El Moez),القيروان الجنوبية (حي المعز),KAIROUAN SUD,35.6772,10.098
MOHAMED HEDHILI DHIBI,DHIBI,MOHAMED HEDHILI,CLINIQUE SOUSSE,4000,SOUSSE MEDINA,SOUSSE,MEDECINE GENERALE,CABINET MEDICAL INDIVIDUEL,NON,توزر,SOUSSE VILLE (Cite Boukhzar),سوسة المدينة (حي بوخزر),SOUSSE VILLE,35.8269,10.63
MEHREZ EL NAKDI YAKOUBI,YAKOUBI,MEHREZ EL NAKDI,3 AV  H.THAMEUR  IMM MAGASIN GENERAL 4 ème ETAGE,8000,NABEUL,NABEUL,PHARMACIEN D'OFFICINE DE JOUR,CABINET DE KINESITHERAPIE,NON,المهدية,NABEUL (Ain Kemicha),نابل (عين كميشة),NABEUL,36.4561,10.7358
DANIA MOHAMED ALI,MOHAMED ALI,DANIA,116 AVENUE HEDI NOUIRA RESIDENCE ERRIADH- ENNASR II-,2037,EL MENZAH 7 - ENNASR II,ARIANA,UROLOGIE,CABINET MEDICAL INDIVIDUEL,NON,سيدي بوزيد,ARIANA VILLE (Centre Commercial Ikram),أريانة المدينة (المركب التجاري إكرام),ARIANA VILLE,36.8653,10.1682
NAOUEL SOUF EL JIL,SOUF EL JIL,NAOUEL,"CLINIQUE ""EL HAKIM""",8070,KORBA,NABEUL,MEDECINE GENERALE,CABINET MEDICAL INDIVIDUEL,NON,تونس,KORBA (Beni Aichoun),قربة (بني عيشون),KORBA,36.5667,10.8667
MOUSTAPHA MAAOUI,MAAOUI,MOUSTAPHA,SIDI HAMMED ROUTE SIDI JDIDI,6124,SIDI HMADA,SILIANA,PHARMACIEN D'OFFICINE DE NUIT,CABINET DE KINESITHERAPIE,NON,أريانة,SILIANA SUD (El Ganara),سليانة الجنوبية (القنارة),SILIANA SUD,36.0833,9.3667
MOHAMED ALI RACHID OUNIFI,OUNIFI,MOHAMED ALI RACHID,medrara centre 8 ave habib bourguiba 3eme etage cabinet 11,2000,BARDO,TUNIS,PEDIATRIE,OFFICINE DE JOUR,NON,توزر,EL OMRANE (Ras Tabia),العمران (رأس الطابية),EL OMRANE,36.8167,10.1667
MOUHANNED el ounissi,el ounissi,MOUHANNED,E.P.S CHARLES NICOLLE,1006,TUNIS BAB SOUIKA,TUNIS,MEDECIN DENTISTE,CABINET MEDICAL INDIVIDUEL,NON,القصرين,BAB SOUIKA (Bab El Akoues),باب سويقة (باب الأقواس),BAB SOUIKA,36.8,10.1667
RAJA SOUID FEHRI,FEHRI,RAJA SOUID,"33, RUE CYRUS LE GRAND PLACE PALESTINE LA FAYETTE",1001,TUNIS REPUBLIQUE,TUNIS,PHARMACIEN D'OFFICINE DE JOUR,CABINET MEDICAL INDIVIDUEL,NON,بن عروس,BAB BHAR (Republique),باب بحر (الجمهورية),BAB BHAR,36.7981,10.1803
TOUNIS BEN AMOR EP GUERDBOU,BEN AMOR EP GUERDBOU,TOUNIS,04 RUE ARBI ZAROUK IMM HILEL LAHMAR,3000,SFAX B DIWAN,SFAX,MEDECIN DENTISTE,OFFICINE DE JOUR,NON,قابس,SFAX VILLE (Ain Charfi),صفاقس المدينة (عين الشرفي),SFAX VILLE,34.7406,10.76
MED MOEZ ASSADI,ASSADI,MED MOEZ,"""RESIDENCE LE JARDIN"" 1er ETAGE APP. N°1 RUE DU LAC DE CONSTANCE",1053,LES BERGES DU LAC,TUNIS,CHIRURGIE ORTHOPEDIQUE,CABINET MEDICAL INDIVIDUEL,NON,باجة,LA MARSA (Berge Du Lac),المرسى (ضفاف البحيرة),LA MARSA,36.8775,10.3275
GHAZOUANI GAIED,GAIED,GHAZOUANI,98 NOUVELLE CITE,5160,EL JEM,MAHDIA,MEDECIN DENTISTE,CABINET MEDICAL INDIVIDUEL,NON,القصرين,EL JEM (El Mechelette),الجم (المشالات),EL JEM,35.2972,10.7119
YAKINE MAAZOUN,MAAZOUN,YAKINE,RUE NALOUTE,4200,KEBILI,KEBILI,MEDECIN DENTISTE,CABINET MEDICAL INDIVIDUEL,NON,قفصة,KEBILI SUD (Beni Mhamed),قبلي الجنوبية (بني محمد),KEBILI SUD,33.7031,8.9692
MED HEDI GASSEM,GASSEM,MED HEDI,19 RUE DJEBEL EL FATH,1001,TUNIS REPUBLIQUE,TUNIS,PHARMACIEN D'OFFICINE DE JOUR,CABINET MEDICAL INDIVIDUEL,NON,المهدية,BAB BHAR (Republique),باب بحر (الجمهورية),BAB BHAR,36.7981,10.1803
khemiri ZAAFRANI,ZAAFRANI,khemiri,RUE HBIB THAMEUR FACE HOPITAL BOUHAJLMLA,3180,BOU HAJLA,KAIROUAN,GYNECOLOGIE-OBSTETRIQUE,CABINET MEDICAL INDIVIDUEL,NON,المهدية,BOU HAJLA (Bir Lahjar),بوحجلة (بئر الحجر),BOU HAJLA,35.28,9.85
ICHRAK RAHMOUNE,RAHMOUNE,ICHRAK, 109  RUE  4001  CITE  EZZOUHOUR   3,2052,CITE EZZOUHOUR,TUNIS,MEDECINE GENERALE,OFFICINE DE NUIT,NON,القيروان,EL HRAIRIA (Cite Bouzaiene),الحرايرية (حي بوزيان),EL HRAIRIA,36.7833,10.1
MADANI CHETALI,CHETALI,MADANI,5 AV DE L ENVIRONNEMENT CITE ETTADHAMEN,2041,CITE ETTADHAMEN,ARIANA,MEDECIN DENTISTE,CABINET MEDICAL INDIVIDUEL,NON,قبلي,ETTADHAMEN (Cite 18 Janvier),التضامن (حي 18 جانفي),ETTADHAMEN,36.8387,10.102
RAOUIA HAJ SLIMENE,HAJ SLIMENE,RAOUIA,RUE OKBA IBN NEFAA IMMEUBLE RIM,6100,SILIANA,SILIANA,MEDECINE GENERALE,CABINET MEDICAL INDIVIDUEL,NON,سيدي بوزيد,SILIANA NORD (Cite Cnrps),سليانة الشمالية (حي الصندوق الوطني للتقاعد والحيطة الإجتماعية),SILIANA NORD,36.0833,9.3667
MOHAMED WALID ATHEMNIA,ATHEMNIA,MOHAMED WALID,50 Avenue de LEre nouvelle 5 emme etage c n 22037 Ennasr,2037,EL MENZAH 7 - ENNASR II,ARIANA,CARDIOLOGIE,CABINET MEDICAL INDIVIDUEL,NON,سليانة,ARIANA VILLE (Centre Commercial Ikram),أريانة المدينة (المركب التجاري إكرام),ARIANA VILLE,36.8653,10.1682
SONIA MOUKADEM GRAYAA,MOUKADEM GRAYAA,SONIA,"""Centre Médical Avicenne"" 38, Av. de l'Environnement, 4ème étage App 42.",2050,HAMMAM-LIF,BEN AROUS,REANIMATION MEDICALE,CABINET MEDICAL INDIVIDUEL,NON,منوبة,HAMMAM LIF (Cite Des Ouvriers),حمام الأنف (حي العمال),HAMMAM LIF,36.728,10.336
MOHAMED RACHED CHRIGUI,CHRIGUI,MOHAMED RACHED,AVENUE DE CARTHAGE IMM. MADINA CENTRE BLOC D 2ème ETAGE,3027,SFAX JADIDA,SFAX,PNEUMO-PHTISIOLOGIE,CABINET MEDICAL INDIVIDUEL,NON,المنستير,SFAX VILLE (Sfax El Jadida),صفاقس المدينة (صفاقس الجديدة),SFAX VILLE,34.7406,10.76
HOUCEM RIDHA EP. HAFFANI,RIDHA EP. HAFFANI,HOUCEM,AVENUE DE L'ENVIRONNEMENT,4041,KSIBET SOUSSE,SOUSSE,DERMATOLOGIE,CABINET MEDICAL INDIVIDUEL,NON,سوسة,SOUSSE RIADH (Cite 7 Novembre),سوسة الرياض (حي 7 نوفمبر),SOUSSE RIADH,35.8269,10.63
BADRIA BOU AAZIZ,BOU AAZIZ,BADRIA,6 BIS RUE TAIB BEN ISSAA,1007,TUNIS JEBBARI,TUNIS,MEDECINE GENERALE,CABINET MEDICAL INDIVIDUEL,NON,المهدية,ESSIJOUMI (El Mellassine),السيجومي (الملاسين),ESSIJOUMI,36.7833,10.15
MOHAMED NAZIH KAMOUN GARGOURI,KAMOUN GARGOURI,MOHAMED NAZIH,1 AV. AHMED KHABTHENI . 1er etage . App 3.,2080,ARIANA MEDINA,ARIANA,MEDECINE GENERALE,CABINET MEDICAL INDIVIDUEL,NON,المنستير,ARIANA VILLE (Ariana),أريانة المدينة (أريانة),ARIANA VILLE,36.861327,10.19168
BESSEM MAZOUZ,MAZOUZ,BESSEM,RT SOKRA  KM4 CITE  EL  HABIB  RESIDANCE  HIBA  MAISON  A8,3052,CITE EL HABIB,SFAX,PHARMACIEN D'OFFICINE DE JOUR,CABINET DE CHIRURGIE DENTAIRE,NON,جندوبة,SFAX EST (Cite De La Sante),صفاقس الشرقية (حي الصحة),SFAX EST,34.7406,10.76
HADDAR ADJ ALI,ADJ ALI,HADDAR,RUE BEN GOUTA GARGABIA,3100,KAIROUAN,KAIROUAN,BIOLOGIE CLINIQUE,CABINET MEDICAL INDIVIDUEL,NON,توزر,KAIROUAN SUD (Cite El Moez),القيروان الجنوبية (حي المعز),KAIROUAN SUD,35.6772,10.098
WIDED ONS KHENISSI,KHENISSI,WIDED ONS,18 RUE DE ROME - TUNIS,1000,TUNIS RP (VILLE),TUNIS,MEDECIN DENTISTE,APC,APC,القصرين,BAB BHAR (Bab Bhar),باب بحر (باب بحر),BAB BHAR,36.7981,10.1803
Fayçel BERHOUMA,BERHOUMA,Fayçel,ROUTE DE TUNIS KM5 IMMEUBLE AZIZA APP N°46,3021,SAKIET EZZIT,SFAX,NEUROLOGIE,CABINET MEDICAL INDIVIDUEL,NON,القصرين,SAKIET EZZIT (Sakiet Ezzit),ساقية الزيت (ساقية الزيت),SAKIET EZZIT,34.8183,10.7469
MONIA AMEL ZEDDINI,ZEDDINI,MONIA AMEL,LOT N° 5 RUE DU LIBYE CITE ERRIADH,8020,SOLIMAN,NABEUL,CHIRURGIE GENERALE,CABINET DE KINESITHERAPIE,NON,المنستير,SOLIMAN (Cite Gharnata),سليمان (حي غرناطة),SOLIMAN,36.7,10.4833
NOUR BAZDEH,BAZDEH,NOUR,9 RUE DU MAROC,5031,KSIBET MEDIOUNI,MONASTIR,MEDECINE GENERALE,CABINET MEDICAL INDIVIDUEL,NON,تطاوين,KSIBET EL MEDIOUNI (Cite Ennadhour 2),قصيبة المديوني (حي الناظور 2),KSIBET EL MEDIOUNI,35.6667,10.8167
MOHAMED KARIM LAHOUEL,LAHOUEL,MOHAMED KARIM,PLACE 7 NOVEMBRE 1987,9100,SIDI BOUZID,SIDI BOUZID,PHARMACIEN : BIOCHIMIE,CABINET MEDICAL INDIVIDUEL,NON,قفصة,SIDI BOUZID EST (Dhraa),سيدي بوزيد الشرقية (الذراع),SIDI BOUZID EST,35.0372,9.4853
MAHIRA HIZAOUI,HIZAOUI,MAHIRA,510 AVENUE KHALED IBN EL WALID,2086,DOUAR HICHER,MANOUBA,RADIOLOGIE (DIAGNOSTIC),APC,APC,صفاقس,DOUAR HICHER (Cite Khaled Ibn El Walid),دوار هيشر (حي خالد بن الوليد),DOUAR HICHER,36.8333,10.0667
MOHAMED CHARFEDDINE TOUIL,TOUIL,MOHAMED CHARFEDDINE,Avenue Mohd V Route de Jerba,4170,ZARZIS,MEDENINE,PHYSIOTHERAPIE,CABINET DE CHIRURGIE DENTAIRE,NON,قبلي,ZARZIS (Beni Fetaiel),جرجيس (بني فطايل),ZARZIS,33.5028,11.1122
JAWHER SAYAH BAKLOUTI,SAYAH BAKLOUTI,JAWHER,22  BIS AV. HABIB THAMEUR,1000,TUNIS RP (VILLE),TUNIS,NEURO-CHIRURGIE,CABINET MEDICAL INDIVIDUEL,NON,أريانة,BAB BHAR (Bab Bhar),باب بحر (باب بحر),BAB BHAR,36.7981,10.1803
GHOFRANE GARALI,GARALI,GHOFRANE,RUE 14 JANVIER,4000,SOUSSE MEDINA,SOUSSE,DERMATOLOGIE,CABINET DE RADIOLOGIE,NON,بن عروس,SOUSSE VILLE (Cite Boukhzar),سوسة المدينة (حي بوخزر),SOUSSE VILLE,35.8269,10.63
AMEL FERIAL DANGUIR EP. AZAIEZ,DANGUIR EP. AZAIEZ,AMEL FERIAL,PHARMACIE DE NUIT,1221,HAIDRA,KASSERINE,MEDECIN DENTISTE,CENTRE DE REEDUCATION FONCTIONNELLE,NON,مدنين,HAIDRA (Cite El Bassatine),حيدرة (حي البساتين),HAIDRA,35.5653,8.4853
NEILA KHELIL,KHELIL,NEILA,"""Centre Polymed"" 40 Av. de l'Environnement , 2ème étage.",2050,HAMMAM-LIF,BEN AROUS,PHYSIOTHERAPIE,CABINET MEDICAL INDIVIDUEL,NON,زغوان,HAMMAM LIF (Cite Des Ouvriers),حمام الأنف (حي العمال),HAMMAM LIF,36.728,10.336
HOUYEM SIFAOUI,SIFAOUI,HOUYEM,121 AVENUE  DE LERE NOUVELLE 1 ETAGE  CABINET 12 ENNASR2037,2037,EL MENZAH 7 - ENNASR II,ARIANA,PHARMACIEN D'OFFICINE DE NUIT,MINISTERE DE L'INTERIEUR,NON,قبلي,ARIANA VILLE (Centre Commercial Ikram),أريانة المدينة (المركب التجاري إكرام),ARIANA VILLE,36.8653,10.1682
MOHAMED JAMEL BEN JDIR,BEN JDIR,MOHAMED JAMEL,AV D ALEXANDRIE MOUROUJ 3,2074,EL MOUROUJ I,BEN AROUS,MEDECIN DENTISTE,CENTRE MEDICO-SOCIAL DES COMMINICATIONS,NON,تونس,EL MOUROUJ (Cite El Bochra),المروج (حي البشرى),EL MOUROUJ,36.7405,10.2042
HESAN DARGHOUTH,DARGHOUTH,HESAN,AV. HABIB THAMEUR -RES IBN JAZZAR 2-BLOC C16  APP3 EL MOUROUJ 1,2074,EL MOUROUJ I,BEN AROUS,PHYSIOTHERAPIE,OFFICINE DE JOUR,NON,صفاقس,EL MOUROUJ (Cite El Bochra),المروج (حي البشرى),EL MOUROUJ,36.7405,10.2042
RAWED BOUHAREB,BOUHAREB,RAWED,"63, AVENUE HABIB BOURGUIBA,  2ème ETAGE - APT 2-2",2000,BARDO,TUNIS,OPHTALMOLOGIE,CABINET DE KINESITHERAPIE,NON,توزر,EL OMRANE (Ras Tabia),العمران (رأس الطابية),EL OMRANE,36.8167,10.1667
BACEM HALLAJ,HALLAJ,BACEM,COMPLEXE MEDICAL IBN EL JAZZAR 1er ETAGE N°5 CITE ADMINISTRATIVE,1200,KASSERINE,KASSERINE,MEDECIN DENTISTE,OFFICINE DE JOUR,NON,نابل,KASSERINE NORD (Doughra),القصرين الشمالية (الدغرة),KASSERINE NORD,35.1711,8.8325
ABDELFETTEH KOUKEN BEN YOUNES,KOUKEN BEN YOUNES,ABDELFETTEH,ARRAM MARETH,6016,ARRAM,GABES,NEUROLOGIE,OFFICINE DE JOUR,NON,قابس,MARETH (Arram),مارث (عرّام),MARETH,33.595,10.28
MOSSAAB BEN YAHYA,BEN YAHYA,MOSSAAB,AVE HABIB BOURGUIBA IMM NOUISSER,4000,SOUSSE MEDINA,SOUSSE,MEDECIN DENTISTE,CABINET MEDICAL INDIVIDUEL,NON,توزر,SOUSSE VILLE (Cite Boukhzar),سوسة المدينة (حي بوخزر),SOUSSE VILLE,35.8269,10.63
AHMED SAMI GUERDELLY,GUERDELLY,AHMED SAMI,2 RUE CONSTANTINOPLE,7000,BIZERTE,BIZERTE,MEDECINE GENERALE,OFFICINE DE JOUR,NON,المنستير,BIZERTE NORD (Bizerte),بنزرت الشمالية (بنزرت),BIZERTE NORD,37.2744,9.8739
NEJM KHALED,KHALED,NEJM,3 AVENUE 25 JUILLET,4100,MEDENINE,MEDENINE,PHARMACIEN D'OFFICINE DE NUIT,OFFICINE DE JOUR,NON,القيروان,MEDENINE NORD (Cite El Khrachfa),مدنين الشمالية (حي الخراشفة),MEDENINE NORD,33.3556,10.4925
